Timestep,Mean Timestep,Mean,Median,Min Reward,Max Reward
1000,88.64,-0.722,-1,-1,1
2000,124.95,-0.408,-1,-1,1
3000,138.62,-0.396,-1,-1,1
4000,150.43,-0.298,-1,-1,1
5000,158.53,-0.278,-1,-1,1
6000,161.48,-0.256,-1,-1,1
7000,165.19,-0.26,-1,-1,1
8000,167.54,-0.222,-1,-1,1
9000,169.62,-0.314,-1,-1,1
10000,171.5,-0.254,-1,-1,1
11000,172.7,-0.284,-1,-1,1
12000,173.97,-0.238,-1,-1,1
13000,175.43,-0.212,-1,-1,1
14000,176.33,-0.274,-1,-1,1
15000,177.02,-0.22,-1,-1,1
16000,177.44,-0.202,-1,-1,1
17000,177.8,-0.312,-1,-1,1
18000,178.1,-0.246,-1,-1,1
19000,177.91,-0.272,-1,-1,1
20000,178.14,-0.284,-1,-1,1
21000,178.12,-0.216,-1,-1,1
22000,178.2,-0.238,-1,-1,1
23000,178.12,-0.27,-1,-1,1
24000,178.25,-0.286,-1,-1,1
25000,178.17,-0.236,-1,-1,1
26000,178.31,-0.262,-1,-1,1
27000,178.68,-0.28,-1,-1,1
28000,178.91,-0.26,-1,-1,1
29000,179.1,-0.216,-1,-1,1
30000,179.2,-0.238,-1,-1,1
31000,179.29,-0.23,-1,-1,1
32000,179.54,-0.276,-1,-1,1
33000,179.59,-0.238,-1,-1,1
34000,180.05,-0.172,-1,-1,1
35000,180.25,-0.246,-1,-1,1
36000,180.43,-0.288,-1,-1,1
37000,180.7,-0.206,-1,-1,1
38000,180.81,-0.27,-1,-1,1
39000,180.87,-0.236,-1,-1,1
40000,180.92,-0.186,-1,-1,1
41000,181.09,-0.242,-1,-1,1
42000,181.25,-0.256,-1,-1,1
43000,181.41,-0.138,-1,-1,1
44000,181.5,-0.248,-1,-1,1
45000,181.68,-0.192,-1,-1,1
46000,181.81,-0.168,-1,-1,1
47000,181.93,-0.216,-1,-1,1
48000,182.08,-0.234,-1,-1,1
49000,182.14,-0.226,-1,-1,1
50000,182.21,-0.232,-1,-1,1
51000,182.25,-0.188,-1,-1,1
52000,182.3,-0.214,-1,-1,1
53000,182.28,-0.216,-1,-1,1
54000,182.41,-0.216,-1,-1,1
55000,182.53,-0.184,-1,-1,1
56000,182.66,-0.23,-1,-1,1
57000,182.7,-0.256,-1,-1,1
58000,182.69,-0.218,-1,-1,1
59000,182.72,-0.28,-1,-1,1
60000,182.87,-0.164,-1,-1,1
61000,182.93,-0.142,-1,-1,1
62000,182.95,-0.148,-1,-1,1
63000,182.79,-0.224,-1,-1,1
64000,182.7,-0.304,-1,-1,1
65000,182.63,-0.224,-1,-1,1
66000,182.61,-0.154,-1,-1,1
67000,182.64,-0.276,-1,-1,1
68000,182.59,-0.268,-1,-1,1
69000,182.41,-0.294,-1,-1,1
70000,182.36,-0.182,-1,-1,1
71000,182.39,-0.244,-1,-1,1
72000,182.34,-0.252,-1,-1,1
73000,182.14,-0.31,-1,-1,1
74000,182.03,-0.278,-1,-1,1
75000,181.87,-0.316,-1,-1,1
76000,181.53,-0.34,-1,-1,1
