episodes,mean timesteps,mean reward,median reward,min reward,max reward,stop,up,left,down,right,bomb
20, 29.4, -1.0, -1.0, -1, -1
40, 23.3, -1.0, -1.0, -1, -1, 0.16624040920716113, 0.1585677749360614, 0.1636828644501279, 0.1867007672634271, 0.16624040920716113, 0.1585677749360614
60, 25.2, -1.0, -1.0, -1, -1, 0.13636363636363635, 0.17045454545454544, 0.17727272727272728, 0.19772727272727272, 0.18409090909090908, 0.1340909090909091
80, 23.5, -1.0, -1.0, -1, -1, 0.13733905579399142, 0.15879828326180256, 0.18454935622317598, 0.2167381974248927, 0.16738197424892703, 0.1351931330472103
100, 19.2, -1.0, -1.0, -1, -1, 0.12649164677804295, 0.12649164677804295, 0.17422434367541767, 0.21957040572792363, 0.162291169451074, 0.1909307875894988
120, 28.7, -1.0, -1.0, -1, -1, 0.14944649446494465, 0.15498154981549817, 0.16789667896678967, 0.21955719557195572, 0.16789667896678967, 0.14022140221402213
140, 29.1, -1.0, -1.0, -1, -1, 0.13636363636363635, 0.20454545454545456, 0.11776859504132231, 0.19421487603305784, 0.21694214876033058, 0.13016528925619836
160, 17.5, -1.0, -1.0, -1, -1, 0.15647921760391198, 0.18337408312958436, 0.15403422982885084, 0.17114914425427874, 0.17114914425427874, 0.16381418092909536
180, 29.5, -1.0, -1.0, -1, -1, 0.1342685370741483, 0.1683366733466934, 0.20641282565130262, 0.19438877755511022, 0.17034068136272545, 0.12625250501002003
200, 20.3, -1.0, -1.0, -1, -1, 0.13846153846153847, 0.16923076923076924, 0.16538461538461538, 0.22115384615384615, 0.17115384615384616, 0.1346153846153846
220, 24.9, -1.0, -1.0, -1, -1, 0.1532258064516129, 0.15524193548387097, 0.19153225806451613, 0.17540322580645162, 0.20161290322580644, 0.12298387096774194
240, 28.6, -1.0, -1.0, -1, -1, 0.1504950495049505, 0.17425742574257425, 0.16633663366336635, 0.21782178217821782, 0.16831683168316833, 0.12277227722772277
260, 20.8, -1.0, -1.0, -1, -1, 0.15644820295983086, 0.18604651162790697, 0.17970401691331925, 0.18816067653276955, 0.17758985200845667, 0.11205073995771671
280, 22.5, -0.8, -1.0, -1, 1, 0.14754098360655737, 0.18969555035128804, 0.16159250585480095, 0.1873536299765808, 0.1686182669789227, 0.1451990632318501
300, 33.9, -1.0, -1.0, -1, -1, 0.15822784810126583, 0.1550632911392405, 0.21044303797468356, 0.2120253164556962, 0.15031645569620253, 0.11392405063291139
320, 23.0, -1.0, -1.0, -1, -1, 0.15789473684210525, 0.15263157894736842, 0.20789473684210527, 0.16578947368421051, 0.18947368421052632, 0.12631578947368421
340, 24.8, -1.0, -1.0, -1, -1, 0.15454545454545454, 0.1590909090909091, 0.21363636363636362, 0.18863636363636363, 0.18409090909090908, 0.1
