episodes,mean timesteps,mean reward,median reward,min reward,max reward,stop,up,left,down,right,bomb
20, 27.7, -1.0, -1.0, -1, -1
40, 17.2, -1.0, -1.0, -1, -1, 0.13866666666666666, 0.176, 0.19733333333333333, 0.14933333333333335, 0.16, 0.17866666666666667
60, 18.6, -1.0, -1.0, -1, -1, 0.1721311475409836, 0.15027322404371585, 0.22131147540983606, 0.1557377049180328, 0.14207650273224043, 0.15846994535519127
80, 20.8, -1.0, -1.0, -1, -1, 0.17268041237113402, 0.19329896907216496, 0.16752577319587628, 0.13144329896907217, 0.16494845360824742, 0.17010309278350516
100, 19.1, -1.0, -1.0, -1, -1, 0.17880794701986755, 0.17880794701986755, 0.20750551876379691, 0.16556291390728478, 0.13245033112582782, 0.1368653421633554
120, 23.2, -1.0, -1.0, -1, -1, 0.14835164835164835, 0.15567765567765568, 0.19597069597069597, 0.19597069597069597, 0.16117216117216118, 0.14285714285714285
140, 21.4, -1.0, -1.0, -1, -1, 0.16512059369202226, 0.19480519480519481, 0.19851576994434136, 0.150278293135436, 0.15769944341372913, 0.13358070500927643
160, 16.9, -1.0, -1.0, -1, -1, 0.15639810426540285, 0.1872037914691943, 0.27014218009478674, 0.14691943127962084, 0.12085308056872038, 0.11848341232227488
180, 19.5, -1.0, -1.0, -1, -1, 0.12780269058295965, 0.2062780269058296, 0.22869955156950672, 0.1547085201793722, 0.12780269058295965, 0.1547085201793722
200, 22.7, -1.0, -1.0, -1, -1, 0.12530120481927712, 0.20722891566265061, 0.18072289156626506, 0.1710843373493976, 0.13493975903614458, 0.18072289156626506
220, 22.4, -1.0, -1.0, -1, -1, 0.16908212560386474, 0.21256038647342995, 0.19806763285024154, 0.11352657004830918, 0.0966183574879227, 0.21014492753623187
240, 25.7, -1.0, -1.0, -1, -1, 0.12958963282937366, 0.24622030237580994, 0.15334773218142547, 0.1447084233261339, 0.1490280777537797, 0.1771058315334773
260, 23.6, -1.0, -1.0, -1, -1, 0.15520628683693516, 0.2082514734774067, 0.18271119842829076, 0.14931237721021612, 0.16306483300589392, 0.14145383104125736
280, 17.0, -1.0, -1.0, -1, -1, 0.116751269035533, 0.2182741116751269, 0.2131979695431472, 0.1700507614213198, 0.116751269035533, 0.1649746192893401
300, 23.0, -1.0, -1.0, -1, -1, 0.09624413145539906, 0.24882629107981222, 0.20657276995305165, 0.14084507042253522, 0.13849765258215962, 0.16901408450704225
320, 25.4, -1.0, -1.0, -1, -1, 0.12008733624454149, 0.19213973799126638, 0.2445414847161572, 0.15283842794759825, 0.12445414847161572, 0.16593886462882096
340, 21.9, -1.0, -1.0, -1, -1, 0.09732360097323602, 0.22871046228710462, 0.1897810218978102, 0.1630170316301703, 0.15085158150851583, 0.170316301703163
360, 20.5, -1.0, -1.0, -1, -1, 0.11531190926275993, 0.21550094517958412, 0.22684310018903592, 0.15122873345935728, 0.15122873345935728, 0.13988657844990549
380, 22.1, -1.0, -1.0, -1, -1, 0.12633832976445397, 0.2569593147751606, 0.22698072805139186, 0.11349036402569593, 0.13704496788008566, 0.139186295503212
400, 16.8, -1.0, -1.0, -1, -1, 0.1575178997613365, 0.22195704057279236, 0.2243436754176611, 0.10501193317422435, 0.10501193317422435, 0.18615751789976134
420, 26.9, -1.0, -1.0, -1, -1, 0.1169811320754717, 0.24150943396226415, 0.22641509433962265, 0.1339622641509434, 0.15660377358490565, 0.12452830188679245
440, 26.2, -1.0, -1.0, -1, -1, 0.11594202898550725, 0.2753623188405797, 0.2236024844720497, 0.11801242236024845, 0.12629399585921325, 0.14078674948240166
460, 37.2, -0.8, -1.0, -1, 1, 0.12460063897763578, 0.25559105431309903, 0.19968051118210864, 0.17412140575079874, 0.13258785942492013, 0.1134185303514377
480, 16.3, -1.0, -1.0, -1, -1, 0.1431924882629108, 0.25821596244131456, 0.20187793427230047, 0.11267605633802817, 0.11032863849765258, 0.17370892018779344
500, 20.8, -1.0, -1.0, -1, -1, 0.11581291759465479, 0.23608017817371937, 0.18262806236080179, 0.16481069042316257, 0.14253897550111358, 0.15812917594654788
520, 24.7, -1.0, -1.0, -1, -1, 0.10112359550561797, 0.28314606741573034, 0.16853932584269662, 0.14606741573033707, 0.1550561797752809, 0.14606741573033707
