episodes,mean timesteps,mean reward,median reward,min reward,max reward,stop,up,left,down,right,bomb
20, 23.2, -0.8, -1.0, -1, 1
40, 30.8, -1.0, -1.0, -1, -1, 0.14100185528756956, 0.18181818181818182, 0.19294990723562153, 0.19666048237476808, 0.14656771799628943, 0.14100185528756956
60, 25.9, -1.0, -1.0, -1, -1, 0.14382022471910114, 0.1797752808988764, 0.1797752808988764, 0.16404494382022472, 0.1550561797752809, 0.17752808988764046
80, 24.4, -1.0, -1.0, -1, -1, 0.17937219730941703, 0.16143497757847533, 0.19730941704035873, 0.16143497757847533, 0.17713004484304934, 0.12331838565022421
100, 21.0, -1.0, -1.0, -1, -1, 0.14989733059548255, 0.17659137577002054, 0.15195071868583163, 0.17864476386036962, 0.18275154004106775, 0.1601642710472279
120, 23.5, -1.0, -1.0, -1, -1, 0.125, 0.15789473684210525, 0.17543859649122806, 0.2412280701754386, 0.15570175438596492, 0.14473684210526316
140, 33.2, -1.0, -1.0, -1, -1, 0.1474820143884892, 0.17086330935251798, 0.17625899280575538, 0.16366906474820145, 0.17625899280575538, 0.16546762589928057
160, 23.3, -1.0, -1.0, -1, -1, 0.16380952380952382, 0.17333333333333334, 0.16952380952380952, 0.20952380952380953, 0.15619047619047619, 0.12761904761904763
180, 29.8, -1.0, -1.0, -1, -1, 0.15644820295983086, 0.19027484143763213, 0.1649048625792812, 0.16913319238900634, 0.1522198731501057, 0.16701902748414377
200, 27.8, -1.0, -1.0, -1, -1, 0.15428571428571428, 0.19428571428571428, 0.19428571428571428, 0.17904761904761904, 0.13333333333333333, 0.14476190476190476
220, 20.1, -1.0, -1.0, -1, -1, 0.14137214137214138, 0.19750519750519752, 0.18711018711018712, 0.16632016632016633, 0.158004158004158, 0.1496881496881497
240, 25.6, -1.0, -1.0, -1, -1, 0.15418502202643172, 0.17841409691629956, 0.20704845814977973, 0.1696035242290749, 0.12334801762114538, 0.16740088105726872
