episodes,mean timesteps,mean reward,median reward,min reward,max reward,mc action
10,24.0,-1.0,-1.0,-1,-1,"[39, 41, 29, 36, 52, 43]"
20,29.4,-1.0,-1.0,-1,-1,"[88, 81, 74, 102, 101, 88]"
30,15.8,-0.8,-1.0,-1,1,"[112, 101, 104, 127, 128, 120]"
40,23.3,-1.0,-1.0,-1,-1,"[153, 143, 138, 175, 166, 150]"
50,18.8,-1.0,-1.0,-1,-1,"[178, 177, 166, 218, 197, 177]"
60,25.2,-1.0,-1.0,-1,-1,"[213, 218, 216, 262, 247, 209]"
70,23.1,-1.0,-1.0,-1,-1,"[245, 259, 259, 314, 282, 237]"
80,23.5,-1.0,-1.0,-1,-1,"[277, 292, 302, 363, 325, 272]"
90,22.7,-0.8,-1.0,-1,1,"[306, 322, 341, 411, 362, 316]"
100,19.2,-1.0,-1.0,-1,-1,"[330, 345, 375, 455, 393, 352]"
110,25.5,-1.0,-1.0,-1,-1,"[366, 376, 427, 512, 432, 392]"
120,28.7,-1.0,-1.0,-1,-1,"[411, 429, 466, 574, 484, 428]"
130,19.3,-1.0,-1.0,-1,-1,"[440, 466, 490, 616, 526, 447]"
140,29.1,-1.0,-1.0,-1,-1,"[477, 528, 523, 668, 589, 491]"
150,23.4,-1.0,-1.0,-1,-1,"[513, 569, 561, 709, 629, 529]"
160,17.5,-1.0,-1.0,-1,-1,"[541, 603, 586, 738, 659, 558]"
170,20.4,-1.0,-1.0,-1,-1,"[569, 642, 620, 781, 694, 583]"
180,29.5,-1.0,-1.0,-1,-1,"[608, 687, 689, 835, 744, 621]"
190,31.7,-0.8,-1.0,-1,1,"[652, 736, 746, 909, 801, 657]"
200,20.3,-1.0,-1.0,-1,-1,"[680, 775, 775, 950, 833, 691]"
210,24.7,-1.0,-1.0,-1,-1,"[716, 818, 818, 995, 882, 722]"
220,24.9,-1.0,-1.0,-1,-1,"[756, 852, 870, 1037, 933, 752]"
230,21.9,-1.0,-1.0,-1,-1,"[789, 899, 903, 1075, 974, 779]"
240,28.6,-1.0,-1.0,-1,-1,"[832, 940, 954, 1147, 1018, 814]"
250,26.5,-1.0,-1.0,-1,-1,"[879, 991, 999, 1195, 1065, 841]"
260,20.8,-1.0,-1.0,-1,-1,"[906, 1028, 1039, 1236, 1102, 867]"
270,20.2,-1.0,-1.0,-1,-1,"[940, 1060, 1070, 1267, 1140, 903]"
280,22.5,-0.8,-1.0,-1,1,"[969, 1109, 1108, 1316, 1174, 929]"
290,29.3,-1.0,-1.0,-1,-1,"[1016, 1160, 1174, 1381, 1203, 964]"
300,33.9,-1.0,-1.0,-1,-1,"[1069, 1207, 1241, 1450, 1269, 1001]"
310,15.0,-1.0,-1.0,-1,-1,"[1091, 1230, 1272, 1472, 1300, 1022]"
320,23.0,-1.0,-1.0,-1,-1,"[1129, 1265, 1320, 1513, 1341, 1049]"
330,19.2,-1.0,-1.0,-1,-1,"[1161, 1283, 1358, 1549, 1383, 1075]"
340,24.8,-1.0,-1.0,-1,-1,"[1197, 1335, 1414, 1596, 1422, 1093]"
350,21.0,-1.0,-1.0,-1,-1,"[1230, 1355, 1459, 1647, 1462, 1114]"
360,29.7,-1.0,-1.0,-1,-1,"[1277, 1403, 1510, 1710, 1515, 1149]"
370,24.8,-1.0,-1.0,-1,-1,"[1325, 1440, 1546, 1776, 1549, 1176]"
380,22.0,-1.0,-1.0,-1,-1,"[1376, 1475, 1579, 1819, 1582, 1201]"
390,22.0,-1.0,-1.0,-1,-1,"[1409, 1508, 1618, 1868, 1620, 1229]"
400,19.1,-1.0,-1.0,-1,-1,"[1441, 1534, 1656, 1904, 1652, 1256]"
410,22.3,-1.0,-1.0,-1,-1,"[1480, 1568, 1692, 1950, 1695, 1281]"
420,34.8,-1.0,-1.0,-1,-1,"[1542, 1633, 1757, 2016, 1749, 1317]"
430,24.8,-1.0,-1.0,-1,-1,"[1590, 1667, 1801, 2074, 1782, 1348]"
440,31.3,-1.0,-1.0,-1,-1,"[1651, 1714, 1862, 2145, 1829, 1374]"
450,28.7,-1.0,-1.0,-1,-1,"[1703, 1764, 1927, 2193, 1878, 1397]"
460,28.2,-0.8,-1.0,-1,1,"[1753, 1798, 1985, 2251, 1937, 1420]"
470,28.0,-1.0,-1.0,-1,-1,"[1802, 1849, 2047, 2312, 1976, 1438]"
480,31.0,-1.0,-1.0,-1,-1,"[1862, 1908, 2112, 2369, 2020, 1463]"
490,24.1,-1.0,-1.0,-1,-1,"[1894, 1964, 2169, 2415, 2050, 1483]"
500,28.5,-1.0,-1.0,-1,-1,"[1943, 2016, 2221, 2485, 2084, 1511]"
510,24.8,-1.0,-1.0,-1,-1,"[1991, 2052, 2283, 2533, 2116, 1533]"
520,24.6,-1.0,-1.0,-1,-1,"[2046, 2091, 2337, 2583, 2141, 1556]"
530,42.6,-0.6,-1.0,-1,1,"[2116, 2179, 2432, 2677, 2189, 1587]"
540,39.2,-0.8,-1.0,-1,1,"[2186, 2263, 2539, 2734, 2236, 1614]"
550,24.5,-1.0,-1.0,-1,-1,"[2227, 2294, 2611, 2773, 2267, 1645]"
560,27.0,-1.0,-1.0,-1,-1,"[2268, 2340, 2677, 2834, 2297, 1671]"
570,37.3,-1.0,-1.0,-1,-1,"[2336, 2421, 2753, 2913, 2349, 1688]"
580,23.8,-1.0,-1.0,-1,-1,"[2375, 2464, 2808, 2961, 2377, 1713]"
590,24.8,-1.0,-1.0,-1,-1,"[2427, 2509, 2860, 3009, 2403, 1738]"
600,35.8,-1.0,-1.0,-1,-1,"[2467, 2571, 2950, 3109, 2438, 1769]"
610,32.2,-1.0,-1.0,-1,-1,"[2517, 2631, 3039, 3185, 2468, 1786]"
620,37.5,-1.0,-1.0,-1,-1,"[2590, 2707, 3127, 3250, 2510, 1817]"
630,46.6,-1.0,-1.0,-1,-1,"[2668, 2791, 3262, 3331, 2562, 1853]"
640,28.4,-1.0,-1.0,-1,-1,"[2714, 2852, 3330, 3378, 2592, 1885]"
650,37.8,-1.0,-1.0,-1,-1,"[2790, 2927, 3421, 3445, 2632, 1914]"
660,28.1,-1.0,-1.0,-1,-1,"[2829, 2968, 3505, 3503, 2676, 1929]"
670,47.1,-1.0,-1.0,-1,-1,"[2909, 3058, 3624, 3606, 2722, 1962]"
680,30.2,-0.8,-1.0,-1,1,"[2954, 3108, 3703, 3682, 2757, 1979]"
690,29.3,-1.0,-1.0,-1,-1,"[2999, 3172, 3769, 3745, 2792, 1999]"
700,23.3,-1.0,-1.0,-1,-1,"[3033, 3216, 3838, 3785, 2816, 2021]"
710,41.1,-1.0,-1.0,-1,-1,"[3108, 3277, 3948, 3869, 2868, 2050]"
720,36.3,-1.0,-1.0,-1,-1,"[3172, 3351, 4037, 3942, 2908, 2073]"
730,40.3,-1.0,-1.0,-1,-1,"[3233, 3438, 4134, 4040, 2949, 2092]"
740,35.8,-1.0,-1.0,-1,-1,"[3287, 3518, 4224, 4112, 2992, 2111]"
750,34.3,-1.0,-1.0,-1,-1,"[3361, 3576, 4295, 4189, 3033, 2133]"
760,45.0,-1.0,-1.0,-1,-1,"[3420, 3667, 4414, 4288, 3087, 2161]"
770,43.2,-1.0,-1.0,-1,-1,"[3474, 3752, 4523, 4392, 3136, 2192]"
780,31.8,-1.0,-1.0,-1,-1,"[3521, 3836, 4598, 4448, 3171, 2213]"
790,25.5,-1.0,-1.0,-1,-1,"[3553, 3881, 4674, 4503, 3199, 2232]"
800,39.3,-1.0,-1.0,-1,-1,"[3618, 3980, 4753, 4590, 3232, 2262]"
810,45.2,-1.0,-1.0,-1,-1,"[3686, 4093, 4863, 4688, 3279, 2278]"
820,30.3,-1.0,-1.0,-1,-1,"[3730, 4169, 4928, 4748, 3316, 2299]"
830,32.3,-0.8,-1.0,-1,1,"[3770, 4240, 4992, 4825, 3359, 2327]"
840,36.9,-1.0,-1.0,-1,-1,"[3814, 4338, 5077, 4900, 3406, 2347]"
850,30.0,-0.8,-1.0,-1,1,"[3868, 4413, 5125, 4965, 3446, 2365]"
860,42.4,-0.8,-1.0,-1,1,"[3935, 4538, 5221, 5039, 3490, 2383]"
870,24.0,-1.0,-1.0,-1,-1,"[3968, 4590, 5271, 5092, 3524, 2401]"
880,31.6,-1.0,-1.0,-1,-1,"[4007, 4686, 5330, 5165, 3558, 2416]"
890,36.4,-1.0,-1.0,-1,-1,"[4057, 4802, 5414, 5228, 3593, 2432]"
900,30.9,-1.0,-1.0,-1,-1,"[4102, 4895, 5470, 5287, 3629, 2452]"
910,29.8,-1.0,-1.0,-1,-1,"[4141, 4959, 5534, 5354, 3671, 2474]"
920,35.4,-1.0,-1.0,-1,-1,"[4195, 5058, 5605, 5420, 3712, 2497]"
930,64.5,-1.0,-1.0,-1,-1,"[4299, 5245, 5733, 5555, 3781, 2519]"
940,54.9,-1.0,-1.0,-1,-1,"[4365, 5416, 5855, 5661, 3839, 2545]"
950,45.3,-1.0,-1.0,-1,-1,"[4444, 5540, 5944, 5741, 3899, 2566]"
960,56.1,-1.0,-1.0,-1,-1,"[4515, 5725, 6038, 5861, 3968, 2588]"
970,35.5,-0.8,-1.0,-1,1,"[4564, 5830, 6106, 5935, 4009, 2606]"
980,44.4,-1.0,-1.0,-1,-1,"[4617, 5949, 6201, 6038, 4054, 2635]"
990,51.3,-0.8,-1.0,-1,1,"[4670, 6099, 6307, 6156, 4118, 2657]"
1000,37.9,-1.0,-1.0,-1,-1,"[4721, 6204, 6381, 6236, 4170, 2674]"
1010,23.3,-1.0,-1.0,-1,-1,"[4752, 6272, 6422, 6282, 4202, 2689]"
1020,53.0,-1.0,-1.0,-1,-1,"[4819, 6424, 6511, 6409, 4281, 2705]"
1030,33.9,-0.8,-1.0,-1,1,"[4867, 6521, 6577, 6483, 4323, 2717]"
1040,50.3,-1.0,-1.0,-1,-1,"[4932, 6676, 6666, 6597, 4384, 2736]"
1050,43.5,-0.8,-1.0,-1,1,"[4991, 6797, 6773, 6682, 4437, 2746]"
1060,53.9,-1.0,-1.0,-1,-1,"[5069, 6959, 6873, 6799, 4504, 2761]"
1070,60.4,-1.0,-1.0,-1,-1,"[5153, 7149, 6972, 6928, 4585, 2782]"
1080,65.0,-1.0,-1.0,-1,-1,"[5235, 7371, 7083, 7073, 4661, 2796]"
1090,50.2,-0.8,-1.0,-1,1,"[5304, 7526, 7173, 7180, 4727, 2811]"
1100,51.4,-1.0,-1.0,-1,-1,"[5368, 7697, 7262, 7287, 4789, 2832]"
1110,45.4,-1.0,-1.0,-1,-1,"[5431, 7834, 7334, 7402, 4845, 2843]"
1120,53.1,-1.0,-1.0,-1,-1,"[5513, 7989, 7427, 7525, 4905, 2861]"
1130,75.4,-1.0,-1.0,-1,-1,"[5634, 8210, 7564, 7697, 4992, 2877]"
1140,52.3,-0.4,-1.0,-1,1,"[5711, 8359, 7657, 7827, 5050, 2893]"
1150,57.2,-1.0,-1.0,-1,-1,"[5798, 8513, 7757, 7967, 5128, 2906]"
1160,48.8,-1.0,-1.0,-1,-1,"[5862, 8638, 7851, 8084, 5197, 2925]"
1170,41.7,-1.0,-1.0,-1,-1,"[5913, 8774, 7924, 8173, 5246, 2944]"
1180,29.8,-0.8,-1.0,-1,1,"[5953, 8886, 7972, 8239, 5269, 2953]"
1190,68.2,-0.8,-1.0,-1,1,"[6068, 9103, 8113, 8357, 5347, 2966]"
1200,45.2,-1.0,-1.0,-1,-1,"[6137, 9253, 8182, 8458, 5395, 2981]"
1210,50.8,-1.0,-1.0,-1,-1,"[6210, 9415, 8268, 8576, 5449, 2996]"
1220,71.9,-0.6,-1.0,-1,1,"[6308, 9656, 8393, 8742, 5523, 3011]"
1230,63.1,-0.8,-1.0,-1,1,"[6399, 9873, 8505, 8867, 5603, 3017]"
1240,55.6,-1.0,-1.0,-1,-1,"[6485, 10054, 8587, 8988, 5676, 3030]"
1250,44.6,-0.8,-1.0,-1,1,"[6542, 10197, 8668, 9078, 5734, 3047]"
1260,97.0,-0.8,-1.0,-1,1,"[6682, 10481, 8851, 9296, 5870, 3056]"
1270,48.5,-0.6,-1.0,-1,1,"[6746, 10638, 8943, 9399, 5926, 3069]"
1280,52.7,-0.6,-1.0,-1,1,"[6836, 10780, 9054, 9518, 5978, 3082]"
1290,69.3,-0.6,-1.0,-1,1,"[6959, 10960, 9194, 9652, 6083, 3093]"
1300,79.8,-0.8,-1.0,-1,1,"[7051, 11183, 9347, 9859, 6193, 3106]"
1310,42.3,-1.0,-1.0,-1,-1,"[7107, 11305, 9418, 9976, 6232, 3124]"
1320,63.2,-0.6,-1.0,-1,1,"[7204, 11501, 9540, 10119, 6296, 3134]"
1330,76.2,-0.8,-1.0,-1,1,"[7321, 11754, 9682, 10271, 6381, 3147]"
1340,97.7,-0.4,-1.0,-1,1,"[7452, 12062, 9862, 10511, 6493, 3153]"
1350,72.2,-1.0,-1.0,-1,-1,"[7566, 12269, 9996, 10673, 6582, 3169]"
1360,97.0,-0.8,-1.0,-1,1,"[7709, 12556, 10167, 10903, 6707, 3183]"
1370,86.9,-0.8,-1.0,-1,1,"[7845, 12801, 10321, 11124, 6810, 3193]"
1380,96.0,-1.0,-1.0,-1,-1,"[7976, 13057, 10516, 11363, 6936, 3206]"
1390,82.6,-0.8,-1.0,-1,1,"[8108, 13273, 10676, 11572, 7029, 3222]"
1400,69.6,-0.8,-1.0,-1,1,"[8202, 13494, 10809, 11725, 7116, 3230]"
1410,96.0,-0.8,-1.0,-1,1,"[8369, 13788, 10973, 11949, 7217, 3240]"
1420,87.4,-0.8,-1.0,-1,1,"[8504, 14038, 11134, 12153, 7332, 3249]"
1430,83.1,-0.6,-1.0,-1,1,"[8625, 14309, 11278, 12372, 7402, 3255]"
1440,63.1,-1.0,-1.0,-1,-1,"[8715, 14492, 11393, 12518, 7488, 3266]"
1450,74.3,-0.8,-1.0,-1,1,"[8855, 14704, 11541, 12676, 7561, 3278]"
1460,76.4,-0.6,-1.0,-1,1,"[8981, 14910, 11689, 12844, 7662, 3293]"
1470,95.4,-0.8,-1.0,-1,1,"[9127, 15191, 11872, 13078, 7762, 3303]"
1480,109.4,-0.8,-1.0,-1,1,"[9322, 15514, 12103, 13290, 7883, 3315]"
1490,90.7,-0.2,-1.0,-1,1,"[9444, 15797, 12254, 13512, 8004, 3323]"
1500,66.8,-0.6,-1.0,-1,1,"[9540, 15972, 12395, 13683, 8078, 3334]"
1510,107.1,-0.6,-1.0,-1,1,"[9687, 16295, 12609, 13944, 8199, 3339]"
1520,75.4,-0.8,-1.0,-1,1,"[9790, 16517, 12767, 14107, 8299, 3347]"
1530,98.8,-0.8,-1.0,-1,1,"[9923, 16809, 12963, 14361, 8405, 3354]"
1540,105.6,-0.6,-1.0,-1,1,"[10090, 17080, 13182, 14628, 8529, 3362]"
1550,54.9,-1.0,-1.0,-1,-1,"[10171, 17230, 13278, 14763, 8602, 3376]"
1560,73.6,-0.8,-1.0,-1,1,"[10256, 17438, 13420, 14938, 8720, 3384]"
1570,97.9,-0.6,-1.0,-1,1,"[10407, 17712, 13610, 15153, 8860, 3393]"
1580,83.8,-0.8,-1.0,-1,1,"[10508, 17950, 13771, 15347, 8992, 3405]"
1590,81.4,-0.6,-1.0,-1,1,"[10611, 18187, 13915, 15542, 9118, 3414]"
1600,118.6,-0.2,-1.0,-1,1,"[10757, 18525, 14143, 15809, 9317, 3422]"
1610,132.3,-0.6,-1.0,-1,1,"[10918, 18910, 14381, 16118, 9533, 3436]"
1620,81.9,-0.6,-1.0,-1,1,"[11015, 19169, 14541, 16280, 9667, 3443]"
1630,86.7,-0.8,-1.0,-1,1,"[11123, 19422, 14712, 16479, 9795, 3451]"
1640,147.8,-0.8,-1.0,-1,1,"[11281, 19845, 15003, 16836, 10033, 3462]"
1650,108.9,-1.0,-1.0,-1,-1,"[11405, 20148, 15218, 17104, 10202, 3472]"
1660,72.6,-0.6,-1.0,-1,1,"[11495, 20345, 15368, 17261, 10324, 3482]"
1670,119.8,-0.8,-1.0,-1,1,"[11652, 20673, 15602, 17553, 10501, 3492]"
1680,80.2,-0.2,-1.0,-1,1,"[11730, 20890, 15742, 17759, 10653, 3501]"
1690,101.3,-0.8,-1.0,-1,1,"[11865, 21154, 15929, 18007, 10825, 3508]"
1700,89.8,-0.8,-1.0,-1,1,"[11977, 21385, 16081, 18269, 10961, 3513]"
1710,84.7,-1.0,-1.0,-1,-1,"[12068, 21616, 16222, 18511, 11097, 3519]"
1720,97.4,-0.8,-1.0,-1,1,"[12190, 21863, 16418, 18749, 11257, 3530]"
1730,76.4,-0.6,-1.0,-1,1,"[12275, 22065, 16565, 18955, 11373, 3538]"
1740,85.8,-0.8,-1.0,-1,1,"[12385, 22280, 16713, 19189, 11514, 3548]"
1750,143.3,-0.8,-1.0,-1,1,"[12556, 22662, 16967, 19571, 11750, 3556]"
1760,157.9,-0.8,-1.0,-1,1,"[12757, 23089, 17223, 20022, 11985, 3565]"
1770,121.5,-1.0,-1.0,-1,-1,"[12893, 23426, 17450, 20330, 12184, 3573]"
1780,154.7,-0.6,-1.0,-1,1,"[13068, 23877, 17691, 20742, 12443, 3582]"
1790,144.9,-0.8,-1.0,-1,1,"[13236, 24257, 17922, 21160, 12685, 3592]"
1800,91.7,-0.6,-1.0,-1,1,"[13339, 24530, 18095, 21374, 12831, 3600]"
1810,87.2,-0.6,-1.0,-1,1,"[13440, 24744, 18257, 21613, 12979, 3608]"
1820,132.2,-0.4,-1.0,-1,1,"[13583, 25112, 18484, 21986, 13182, 3616]"
1830,103.9,-0.6,-1.0,-1,1,"[13698, 25417, 18654, 22272, 13340, 3621]"
1840,99.4,-0.4,-1.0,-1,1,"[13795, 25681, 18837, 22557, 13500, 3626]"
1850,90.0,-0.8,-1.0,-1,1,"[13888, 25932, 18992, 22819, 13633, 3632]"
1860,116.8,0.0,0.0,-1,1,"[14023, 26270, 19209, 23100, 13824, 3638]"
1870,110.4,-0.4,-1.0,-1,1,"[14139, 26612, 19405, 23372, 13996, 3644]"
1880,149.4,-0.6,-1.0,-1,1,"[14299, 27078, 19667, 23731, 14233, 3654]"
1890,109.1,-0.6,-1.0,-1,1,"[14431, 27411, 19847, 23985, 14421, 3658]"
1900,89.4,-0.2,-1.0,-1,1,"[14524, 27686, 20002, 24199, 14572, 3664]"
1910,131.0,-0.8,-1.0,-1,1,"[14692, 28081, 20209, 24531, 14769, 3675]"
1920,175.3,-0.6,-1.0,-1,1,"[14904, 28633, 20475, 24979, 15038, 3681]"
1930,117.3,-0.4,-1.0,-1,1,"[15037, 29001, 20625, 25291, 15246, 3683]"
1940,112.6,-1.0,-1.0,-1,-1,"[15178, 29307, 20802, 25563, 15470, 3689]"
1950,87.0,-1.0,-1.0,-1,-1,"[15280, 29558, 20961, 25778, 15609, 3693]"
1960,77.3,-0.6,-1.0,-1,1,"[15391, 29760, 21091, 25948, 15760, 3702]"
1970,119.4,-0.6,-1.0,-1,1,"[15510, 30121, 21310, 26255, 15943, 3707]"
1980,149.7,-0.6,-1.0,-1,1,"[15674, 30515, 21586, 26671, 16186, 3711]"
1990,178.4,-0.6,-1.0,-1,1,"[15859, 30998, 21909, 27189, 16458, 3714]"
