episodes,mean timesteps,mean reward,median reward,min reward,max reward,mc action
10,17.2,-1.0,-1.0,-1,-1,"[21, 36, 26, 26, 19, 44]"
20,33.8,-1.0,-1.0,-1,-1,"[85, 96, 86, 82, 72, 89]"
30,17.3,-1.0,-1.0,-1,-1,"[111, 124, 113, 110, 105, 120]"
40,19.7,-1.0,-1.0,-1,-1,"[133, 153, 147, 152, 141, 154]"
50,25.1,-0.8,-1.0,-1,1,"[169, 194, 189, 201, 178, 200]"
60,21.1,-1.0,-1.0,-1,-1,"[195, 234, 214, 242, 215, 242]"
70,18.0,-1.0,-1.0,-1,-1,"[225, 262, 251, 268, 242, 274]"
80,20.1,-1.0,-1.0,-1,-1,"[260, 301, 272, 306, 276, 308]"
90,16.8,-1.0,-1.0,-1,-1,"[280, 326, 301, 339, 302, 343]"
100,19.4,-1.0,-1.0,-1,-1,"[311, 357, 329, 378, 330, 380]"
110,22.9,-1.0,-1.0,-1,-1,"[354, 382, 373, 424, 366, 415]"
120,16.7,-1.0,-1.0,-1,-1,"[383, 406, 394, 464, 392, 442]"
130,23.4,-1.0,-1.0,-1,-1,"[417, 444, 430, 514, 428, 482]"
140,22.0,-1.0,-1.0,-1,-1,"[459, 492, 463, 548, 463, 510]"
150,25.1,-1.0,-1.0,-1,-1,"[498, 536, 512, 592, 499, 549]"
160,21.4,-1.0,-1.0,-1,-1,"[531, 574, 549, 629, 528, 589]"
170,20.3,-1.0,-1.0,-1,-1,"[564, 608, 575, 667, 563, 626]"
180,20.9,-1.0,-1.0,-1,-1,"[592, 639, 610, 709, 594, 668]"
190,21.4,-1.0,-1.0,-1,-1,"[623, 673, 655, 745, 629, 701]"
200,23.3,-1.0,-1.0,-1,-1,"[661, 715, 691, 791, 668, 733]"
210,25.1,-1.0,-1.0,-1,-1,"[703, 760, 726, 835, 708, 778]"
220,21.9,-1.0,-1.0,-1,-1,"[745, 793, 753, 881, 737, 820]"
230,26.0,-1.0,-1.0,-1,-1,"[793, 842, 796, 931, 775, 852]"
240,18.2,-1.0,-1.0,-1,-1,"[815, 870, 822, 977, 807, 880]"
250,28.1,-1.0,-1.0,-1,-1,"[855, 923, 871, 1029, 856, 918]"
260,24.5,-1.0,-1.0,-1,-1,"[887, 959, 912, 1067, 905, 967]"
270,19.2,-1.0,-1.0,-1,-1,"[905, 997, 946, 1099, 946, 996]"
280,22.1,-1.0,-1.0,-1,-1,"[953, 1025, 989, 1131, 977, 1035]"
290,18.9,-1.0,-1.0,-1,-1,"[983, 1056, 1022, 1161, 1007, 1070]"
300,22.5,-1.0,-1.0,-1,-1,"[1022, 1089, 1055, 1203, 1039, 1116]"
310,17.7,-1.0,-1.0,-1,-1,"[1050, 1125, 1082, 1229, 1065, 1150]"
320,21.7,-1.0,-1.0,-1,-1,"[1070, 1162, 1117, 1278, 1106, 1185]"
330,16.8,-1.0,-1.0,-1,-1,"[1089, 1195, 1139, 1317, 1131, 1215]"
340,25.1,-1.0,-1.0,-1,-1,"[1126, 1246, 1178, 1368, 1162, 1257]"
350,34.4,-1.0,-1.0,-1,-1,"[1172, 1319, 1219, 1441, 1223, 1307]"
360,21.6,-1.0,-1.0,-1,-1,"[1202, 1358, 1250, 1484, 1260, 1343]"
370,27.7,-1.0,-1.0,-1,-1,"[1245, 1408, 1304, 1530, 1300, 1387]"
380,20.6,-1.0,-1.0,-1,-1,"[1272, 1448, 1329, 1574, 1336, 1421]"
390,19.5,-1.0,-1.0,-1,-1,"[1299, 1489, 1364, 1605, 1372, 1446]"
400,32.6,-1.0,-1.0,-1,-1,"[1345, 1538, 1419, 1675, 1432, 1492]"
410,24.3,-1.0,-1.0,-1,-1,"[1388, 1584, 1458, 1725, 1464, 1525]"
420,26.8,-1.0,-1.0,-1,-1,"[1426, 1636, 1496, 1772, 1511, 1571]"
430,17.7,-1.0,-1.0,-1,-1,"[1450, 1674, 1518, 1798, 1542, 1607]"
440,21.2,-1.0,-1.0,-1,-1,"[1480, 1709, 1552, 1832, 1579, 1649]"
450,20.5,-1.0,-1.0,-1,-1,"[1508, 1747, 1582, 1871, 1615, 1683]"
460,21.1,-1.0,-1.0,-1,-1,"[1540, 1777, 1608, 1918, 1649, 1725]"
470,21.3,-1.0,-1.0,-1,-1,"[1568, 1818, 1640, 1959, 1690, 1755]"
480,33.5,-1.0,-1.0,-1,-1,"[1610, 1883, 1691, 2020, 1754, 1807]"
490,14.0,-1.0,-1.0,-1,-1,"[1629, 1912, 1715, 2041, 1780, 1828]"
