episodes,mean timesteps,mean reward,median reward,min reward,max reward,mc action
100,130.16,-0.56,-1.0,-1,1,3
200,135.84,-0.42,-1.0,-1,1,0
300,143.47,-0.34,-1.0,-1,1,0
400,150.14,-0.44,-1.0,-1,1,0
500,154.0,-0.46,-1.0,-1,1,0
600,157.28,-0.28,-1.0,-1,1,0
700,157.54,-0.54,-1.0,-1,1,0
800,160.77,-0.44,-1.0,-1,1,0
900,161.67,-0.5,-1.0,-1,1,0
1000,161.64,-0.4,-1.0,-1,1,0
1100,161.65,-0.4,-1.0,-1,1,0
1200,162.16,-0.28,-1.0,-1,1,0
1300,162.88,-0.56,-1.0,-1,1,0
1400,163.44,-0.38,-1.0,-1,1,0
1500,163.39,-0.48,-1.0,-1,1,0
1600,164.33,-0.42,-1.0,-1,1,0
1700,165.55,-0.48,-1.0,-1,1,0
1800,165.48,-0.52,-1.0,-1,1,0
1900,166.34,-0.58,-1.0,-1,1,0
2000,166.26,-0.4,-1.0,-1,1,0
2100,167.06,-0.52,-1.0,-1,1,0
2200,167.34,-0.44,-1.0,-1,1,0
2300,167.42,-0.44,-1.0,-1,1,0
2400,167.77,-0.44,-1.0,-1,1,0
2500,168.82,-0.5,-1.0,-1,1,0
2600,169.05,-0.42,-1.0,-1,1,0
2700,169.37,-0.62,-1.0,-1,1,0
2800,169.47,-0.2,-1.0,-1,1,0
2900,169.46,-0.48,-1.0,-1,1,0
3000,169.29,-0.4,-1.0,-1,1,0
3100,168.8,-0.32,-1.0,-1,1,0
3200,168.92,-0.48,-1.0,-1,1,0
3300,169.5,-0.4,-1.0,-1,1,0
3400,169.74,-0.64,-1.0,-1,1,0
3500,169.56,-0.34,-1.0,-1,1,0
3600,169.94,-0.38,-1.0,-1,1,0
3700,170.07,-0.32,-1.0,-1,1,0
3800,170.18,-0.38,-1.0,-1,1,0
3900,170.8,-0.32,-1.0,-1,1,0
4000,171.12,-0.52,-1.0,-1,1,0
4100,171.37,-0.34,-1.0,-1,1,0
4200,171.45,-0.5,-1.0,-1,1,0
4300,171.59,-0.54,-1.0,-1,1,0
4400,171.87,-0.42,-1.0,-1,1,0
4500,171.65,-0.4,-1.0,-1,1,0
4600,171.63,-0.46,-1.0,-1,1,0
4700,171.54,-0.46,-1.0,-1,1,0
4800,171.44,-0.32,-1.0,-1,1,0
4900,171.55,-0.52,-1.0,-1,1,0
5000,171.65,-0.48,-1.0,-1,1,0
5100,171.66,-0.38,-1.0,-1,1,0
5200,171.52,-0.36,-1.0,-1,1,0
5300,171.73,-0.46,-1.0,-1,1,0
5400,171.71,-0.4,-1.0,-1,1,0
5500,171.55,-0.36,-1.0,-1,1,0
5600,171.62,-0.48,-1.0,-1,1,0
5700,171.56,-0.52,-1.0,-1,1,0
5800,171.68,-0.46,-1.0,-1,1,0
5900,171.59,-0.36,-1.0,-1,1,0
6000,171.54,-0.52,-1.0,-1,1,0
6100,171.32,-0.36,-1.0,-1,1,0
6200,171.31,-0.42,-1.0,-1,1,0
6300,171.12,-0.48,-1.0,-1,1,0
6400,171.21,-0.44,-1.0,-1,1,0
6500,171.31,-0.5,-1.0,-1,1,0
6600,171.23,-0.42,-1.0,-1,1,0
6700,171.18,-0.6,-1.0,-1,1,0
6800,171.39,-0.3,-1.0,-1,1,0
6900,171.57,-0.54,-1.0,-1,1,0
7000,171.53,-0.42,-1.0,-1,1,0
7100,171.56,-0.44,-1.0,-1,1,0
7200,171.64,-0.4,-1.0,-1,1,0
7300,171.48,-0.56,-1.0,-1,1,0
7400,171.62,-0.54,-1.0,-1,1,0
7500,171.81,-0.52,-1.0,-1,1,0
7600,171.89,-0.42,-1.0,-1,1,0
7700,172.12,-0.34,-1.0,-1,1,0
7800,172.08,-0.42,-1.0,-1,1,0
7900,172.05,-0.48,-1.0,-1,1,0
8000,172.05,-0.48,-1.0,-1,1,0
8100,171.91,-0.46,-1.0,-1,1,0
8200,172.08,-0.56,-1.0,-1,1,0
8300,172.18,-0.6,-1.0,-1,1,0
8400,172.11,-0.54,-1.0,-1,1,0
8500,171.92,-0.44,-1.0,-1,1,0
8600,171.83,-0.34,-1.0,-1,1,0
8700,171.87,-0.5,-1.0,-1,1,0
8800,171.75,-0.52,-1.0,-1,1,0
8900,171.83,-0.46,-1.0,-1,1,0
9000,171.77,-0.3,-1.0,-1,1,0
9100,171.7,-0.38,-1.0,-1,1,0
9200,171.76,-0.6,-1.0,-1,1,0
9300,171.64,-0.46,-1.0,-1,1,0
9400,171.71,-0.5,-1.0,-1,1,0
9500,171.82,-0.54,-1.0,-1,1,0
9600,171.65,-0.4,-1.0,-1,1,0
9700,171.8,-0.56,-1.0,-1,1,0
9800,171.8,-0.38,-1.0,-1,1,0
9900,171.85,-0.36,-1.0,-1,1,0
10000,171.81,-0.5,-1.0,-1,1,0
10100,171.88,-0.44,-1.0,-1,1,0
10200,171.76,-0.4,-1.0,-1,1,0
10300,171.83,-0.64,-1.0,-1,1,0
10400,171.87,-0.36,-1.0,-1,1,0
10500,171.91,-0.62,-1.0,-1,1,0
10600,171.99,-0.64,-1.0,-1,1,0
10700,171.96,-0.38,-1.0,-1,1,0
10800,171.85,-0.5,-1.0,-1,1,0
10900,171.94,-0.52,-1.0,-1,1,0
11000,171.92,-0.54,-1.0,-1,1,0
11100,171.83,-0.46,-1.0,-1,1,0
11200,171.78,-0.5,-1.0,-1,1,0
11300,171.89,-0.48,-1.0,-1,1,0
11400,171.93,-0.62,-1.0,-1,1,0
11500,172.17,-0.58,-1.0,-1,1,0
11600,172.31,-0.54,-1.0,-1,1,0
11700,172.31,-0.36,-1.0,-1,1,0
11800,172.36,-0.36,-1.0,-1,1,0
11900,172.46,-0.46,-1.0,-1,1,0
12000,172.49,-0.46,-1.0,-1,1,0
12100,172.38,-0.44,-1.0,-1,1,0
12200,172.52,-0.48,-1.0,-1,1,0
12300,172.49,-0.46,-1.0,-1,1,0
12400,172.55,-0.46,-1.0,-1,1,0
12500,172.53,-0.44,-1.0,-1,1,0
12600,172.45,-0.56,-1.0,-1,1,0
12700,172.4,-0.44,-1.0,-1,1,0
12800,172.38,-0.36,-1.0,-1,1,0
12900,172.52,-0.5,-1.0,-1,1,0
13000,172.55,-0.56,-1.0,-1,1,0
13100,172.49,-0.52,-1.0,-1,1,0
13200,172.6,-0.4,-1.0,-1,1,0
13300,172.65,-0.56,-1.0,-1,1,0
13400,172.78,-0.42,-1.0,-1,1,0
13500,172.76,-0.46,-1.0,-1,1,0
13600,172.77,-0.52,-1.0,-1,1,0
13700,172.84,-0.48,-1.0,-1,1,0
13800,172.87,-0.5,-1.0,-1,1,0
13900,172.86,-0.48,-1.0,-1,1,0
14000,172.85,-0.48,-1.0,-1,1,0
14100,173.02,-0.56,-1.0,-1,1,0
14200,173.01,-0.46,-1.0,-1,1,0
14300,172.98,-0.66,-1.0,-1,1,0
14400,173.02,-0.5,-1.0,-1,1,0
14500,173.0,-0.44,-1.0,-1,1,0
14600,172.99,-0.48,-1.0,-1,1,0
14700,172.89,-0.48,-1.0,-1,1,0
14800,172.82,-0.38,-1.0,-1,1,0
14900,172.93,-0.44,-1.0,-1,1,0
15000,172.89,-0.5,-1.0,-1,1,0
15100,172.84,-0.38,-1.0,-1,1,0
15200,172.83,-0.38,-1.0,-1,1,0
15300,172.93,-0.54,-1.0,-1,1,0
15400,172.86,-0.56,-1.0,-1,1,0
15500,172.9,-0.48,-1.0,-1,1,0
15600,172.96,-0.56,-1.0,-1,1,0
15700,173.04,-0.68,-1.0,-1,1,0
15800,173.09,-0.52,-1.0,-1,1,0
15900,173.2,-0.42,-1.0,-1,1,0
16000,173.13,-0.46,-1.0,-1,1,0
16100,173.18,-0.56,-1.0,-1,1,0
16200,173.22,-0.56,-1.0,-1,1,0
16300,173.22,-0.54,-1.0,-1,1,0
16400,173.23,-0.42,-1.0,-1,1,0
16500,173.27,-0.42,-1.0,-1,1,0
16600,173.35,-0.6,-1.0,-1,1,0
16700,173.34,-0.44,-1.0,-1,1,0
16800,173.33,-0.6,-1.0,-1,1,0
16900,173.24,-0.46,-1.0,-1,1,0
17000,173.19,-0.26,-1.0,-1,1,0
17100,173.34,-0.5,-1.0,-1,1,0
17200,173.37,-0.5,-1.0,-1,1,0
17300,173.36,-0.4,-1.0,-1,1,0
17400,173.46,-0.54,-1.0,-1,1,0
17500,173.37,-0.26,-1.0,-1,1,0
17600,173.29,-0.5,-1.0,-1,1,0
17700,173.29,-0.5,-1.0,-1,1,0
17800,173.29,-0.36,-1.0,-1,1,0
17900,173.33,-0.5,-1.0,-1,1,0
18000,173.39,-0.44,-1.0,-1,1,0
18100,173.34,-0.32,-1.0,-1,1,0
18200,173.27,-0.5,-1.0,-1,1,0
18300,173.31,-0.58,-1.0,-1,1,0
18400,173.27,-0.54,-1.0,-1,1,0
18500,173.33,-0.66,-1.0,-1,1,0
18600,173.36,-0.52,-1.0,-1,1,0
18700,173.37,-0.5,-1.0,-1,1,0
18800,173.4,-0.62,-1.0,-1,1,0
18900,173.38,-0.44,-1.0,-1,1,0
19000,173.41,-0.58,-1.0,-1,1,0
19100,173.45,-0.7,-1.0,-1,1,0
19200,173.43,-0.52,-1.0,-1,1,0
19300,173.4,-0.38,-1.0,-1,1,0
