episodes,mean timesteps,mean reward,median reward,min reward,max reward,mc action
100,10.0,-1.0,-1.0,-1,-1,5
200,10.0,-1.0,-1.0,-1,-1,5
300,10.0,-1.0,-1.0,-1,-1,5
400,10.08,-1.0,-1.0,-1,-1,5
500,10.1,-1.0,-1.0,-1,-1,5
600,10.08,-1.0,-1.0,-1,-1,5
700,10.07,-1.0,-1.0,-1,-1,5
800,10.08,-1.0,-1.0,-1,-1,5
900,10.08,-1.0,-1.0,-1,-1,5
1000,10.08,-1.0,-1.0,-1,-1,5
1100,10.08,-1.0,-1.0,-1,-1,5
1200,10.07,-1.0,-1.0,-1,-1,5
1300,10.08,-1.0,-1.0,-1,-1,5
1400,10.07,-1.0,-1.0,-1,-1,5
1500,10.07,-1.0,-1.0,-1,-1,5
1600,10.07,-1.0,-1.0,-1,-1,5
1700,10.06,-1.0,-1.0,-1,-1,5
1800,10.07,-1.0,-1.0,-1,-1,5
1900,10.07,-1.0,-1.0,-1,-1,5
2000,10.07,-1.0,-1.0,-1,-1,5
2100,10.07,-1.0,-1.0,-1,-1,5
2200,10.07,-1.0,-1.0,-1,-1,5
2300,10.08,-1.0,-1.0,-1,-1,4
2400,10.11,-1.0,-1.0,-1,-1,4
2500,10.11,-1.0,-1.0,-1,-1,5
2600,10.11,-1.0,-1.0,-1,-1,5
2700,10.11,-1.0,-1.0,-1,-1,5
2800,10.16,-0.98,-1.0,-1,1,4
2900,10.2,-1.0,-1.0,-1,-1,4
3000,10.22,-1.0,-1.0,-1,-1,4
3100,10.22,-1.0,-1.0,-1,-1,5
3200,10.26,-1.0,-1.0,-1,-1,4
3300,10.25,-1.0,-1.0,-1,-1,4
3400,10.26,-1.0,-1.0,-1,-1,5
3500,10.26,-0.98,-1.0,-1,1,4
3600,10.26,-1.0,-1.0,-1,-1,4
3700,10.25,-1.0,-1.0,-1,-1,5
3800,10.25,-1.0,-1.0,-1,-1,4
3900,10.32,-1.0,-1.0,-1,-1,4
4000,10.37,-0.98,-1.0,-1,1,4
4100,10.36,-1.0,-1.0,-1,-1,4
4200,10.44,-0.98,-1.0,-1,1,4
4300,10.49,-1.0,-1.0,-1,-1,4
4400,10.48,-1.0,-1.0,-1,-1,4
4500,10.47,-1.0,-1.0,-1,-1,4
4600,10.46,-1.0,-1.0,-1,-1,4
4700,10.46,-1.0,-1.0,-1,-1,4
4800,10.45,-1.0,-1.0,-1,-1,4
4900,10.44,-1.0,-1.0,-1,-1,4
5000,10.43,-1.0,-1.0,-1,-1,4
5100,10.43,-1.0,-1.0,-1,-1,4
5200,10.43,-1.0,-1.0,-1,-1,4
5300,10.42,-1.0,-1.0,-1,-1,4
5400,10.41,-1.0,-1.0,-1,-1,4
5500,10.4,-1.0,-1.0,-1,-1,4
5600,10.4,-1.0,-1.0,-1,-1,4
5700,10.39,-1.0,-1.0,-1,-1,4
5800,10.38,-1.0,-1.0,-1,-1,4
5900,10.42,-1.0,-1.0,-1,-1,4
6000,10.43,-1.0,-1.0,-1,-1,4
6100,10.44,-1.0,-1.0,-1,-1,4
6200,10.43,-1.0,-1.0,-1,-1,5
6300,10.43,-1.0,-1.0,-1,-1,5
6400,10.44,-1.0,-1.0,-1,-1,5
6500,10.55,-0.98,-1.0,-1,1,4
6600,10.54,-1.0,-1.0,-1,-1,5
6700,10.54,-1.0,-1.0,-1,-1,5
6800,10.53,-1.0,-1.0,-1,-1,5
6900,10.52,-1.0,-1.0,-1,-1,5
7000,10.52,-1.0,-1.0,-1,-1,4
7100,10.55,-1.0,-1.0,-1,-1,4
7200,10.55,-1.0,-1.0,-1,-1,5
7300,10.54,-1.0,-1.0,-1,-1,4
7400,10.57,-1.0,-1.0,-1,-1,4
7500,10.56,-1.0,-1.0,-1,-1,4
7600,10.56,-1.0,-1.0,-1,-1,4
7700,10.56,-1.0,-1.0,-1,-1,5
7800,10.56,-1.0,-1.0,-1,-1,5
7900,10.55,-1.0,-1.0,-1,-1,4
8000,10.6,-1.0,-1.0,-1,-1,4
8100,10.6,-0.98,-1.0,-1,1,4
8200,10.61,-1.0,-1.0,-1,-1,5
8300,10.6,-1.0,-1.0,-1,-1,5
8400,10.73,-0.98,-1.0,-1,1,4
8500,10.84,-0.98,-1.0,-1,1,4
8600,10.9,-0.98,-1.0,-1,1,4
8700,10.89,-1.0,-1.0,-1,-1,5
8800,10.88,-1.0,-1.0,-1,-1,5
8900,10.87,-1.0,-1.0,-1,-1,5
9000,10.86,-1.0,-1.0,-1,-1,5
9100,10.85,-1.0,-1.0,-1,-1,5
9200,10.84,-1.0,-1.0,-1,-1,5
9300,10.83,-1.0,-1.0,-1,-1,5
9400,10.82,-1.0,-1.0,-1,-1,5
9500,10.81,-1.0,-1.0,-1,-1,5
9600,10.81,-1.0,-1.0,-1,-1,5
9700,10.8,-1.0,-1.0,-1,-1,5
9800,10.79,-1.0,-1.0,-1,-1,5
9900,10.78,-1.0,-1.0,-1,-1,5
10000,10.77,-1.0,-1.0,-1,-1,5
10100,10.77,-1.0,-1.0,-1,-1,5
10200,10.76,-1.0,-1.0,-1,-1,5
10300,10.76,-1.0,-1.0,-1,-1,5
10400,10.75,-1.0,-1.0,-1,-1,5
10500,10.74,-1.0,-1.0,-1,-1,5
10600,10.74,-1.0,-1.0,-1,-1,5
10700,10.73,-1.0,-1.0,-1,-1,5
10800,10.73,-1.0,-1.0,-1,-1,5
10900,10.73,-1.0,-1.0,-1,-1,5
11000,10.74,-0.98,-1.0,-1,1,5
11100,10.75,-1.0,-1.0,-1,-1,5
11200,10.75,-1.0,-1.0,-1,-1,5
11300,10.76,-1.0,-1.0,-1,-1,5
11400,10.77,-0.98,-1.0,-1,1,5
11500,10.76,-1.0,-1.0,-1,-1,5
11600,10.88,-0.98,-1.0,-1,1,4
11700,10.93,-0.98,-1.0,-1,1,4
11800,10.99,-1.0,-1.0,-1,-1,4
11900,11.03,-1.0,-1.0,-1,-1,4
12000,11.1,-0.98,-1.0,-1,1,4
12100,11.11,-1.0,-1.0,-1,-1,4
12200,11.14,-0.96,-1.0,-1,1,4
12300,11.22,-0.96,-1.0,-1,1,4
12400,11.47,-0.92,-1.0,-1,1,4
12500,11.83,-0.88,-1.0,-1,1,4
12600,11.84,-0.98,-1.0,-1,1,4
12700,11.98,-0.98,-1.0,-1,1,4
12800,11.97,-1.0,-1.0,-1,-1,5
12900,12.0,-0.98,-1.0,-1,1,4
13000,12.1,-0.92,-1.0,-1,1,4
13100,12.13,-0.98,-1.0,-1,1,4
13200,12.8,-0.64,-1.0,-1,1,4
13300,12.97,-0.86,-1.0,-1,1,4
13400,13.5,-0.92,-1.0,-1,1,4
13500,13.9,-0.78,-1.0,-1,1,4
13600,13.97,-0.92,-1.0,-1,1,4
13700,14.03,-1.0,-1.0,-1,-1,4
13800,14.04,-0.98,-1.0,-1,1,4
13900,14.05,-0.98,-1.0,-1,1,4
14000,14.08,-1.0,-1.0,-1,-1,4
14100,14.17,-0.94,-1.0,-1,1,4
14200,14.24,-0.94,-1.0,-1,1,4
14300,14.3,-1.0,-1.0,-1,-1,4
14400,14.54,-0.8,-1.0,-1,1,4
14500,14.64,-0.98,-1.0,-1,1,4
14600,14.8,-0.92,-1.0,-1,1,4
14700,14.85,-0.98,-1.0,-1,1,4
14800,14.95,-0.96,-1.0,-1,1,4
14900,15.09,-0.92,-1.0,-1,1,4
15000,15.83,-0.56,-1.0,-1,1,4
15100,16.06,-0.82,-1.0,-1,1,4
15200,16.23,-0.82,-1.0,-1,1,4
15300,16.4,-0.84,-1.0,-1,1,4
15400,16.96,-0.74,-1.0,-1,1,4
15500,17.51,-0.8,-1.0,-1,1,4
15600,17.67,-0.78,-1.0,-1,1,4
15700,17.83,-0.94,-1.0,-1,1,4
15800,17.95,-0.88,-1.0,-1,1,4
15900,18.18,-0.88,-1.0,-1,1,4
16000,18.38,-0.88,-1.0,-1,1,4
16100,18.55,-0.86,-1.0,-1,1,4
16200,18.93,-0.84,-1.0,-1,1,4
16300,19.63,-0.7,-1.0,-1,1,4
16400,20.44,-0.64,-1.0,-1,1,4
16500,21.11,-0.52,-1.0,-1,1,4
16600,21.72,-0.64,-1.0,-1,1,4
16700,22.42,-0.6,-1.0,-1,1,4
16800,23.22,-0.5,-1.0,-1,1,4
16900,23.75,-0.74,-1.0,-1,1,4
17000,24.16,-0.68,-1.0,-1,1,4
17100,24.75,-0.7,-1.0,-1,1,4
17200,25.13,-0.66,-1.0,-1,1,4
17300,25.8,-0.68,-1.0,-1,1,4
17400,26.15,-0.72,-1.0,-1,1,4
17500,26.46,-0.82,-1.0,-1,1,4
17600,26.73,-0.74,-1.0,-1,1,4
17700,27.38,-0.56,-1.0,-1,1,4
17800,28.17,-0.52,-1.0,-1,1,4
17900,28.81,-0.48,-1.0,-1,1,4
18000,29.45,-0.62,-1.0,-1,1,4
18100,30.11,-0.42,-1.0,-1,1,4
18200,30.81,-0.58,-1.0,-1,1,4
18300,31.46,-0.52,-1.0,-1,1,4
18400,32.08,-0.5,-1.0,-1,1,4
18500,32.75,-0.52,-1.0,-1,1,4
18600,33.33,-0.5,-1.0,-1,1,4
