episodes,mean timesteps,mean reward,median reward,min reward,max reward,mc action
100,20.55,-0.98,-1.0,-1,1,2
200,22.46,-0.98,-1.0,-1,1,2
300,23.96,-0.98,-1.0,-1,1,2
400,24.62,-1.0,-1.0,-1,-1,2
500,24.7,-0.98,-1.0,-1,1,0
600,25.22,-0.96,-1.0,-1,1,1
700,25.62,-0.98,-1.0,-1,1,1
800,25.06,-0.98,-1.0,-1,1,1
900,24.84,-0.98,-1.0,-1,1,0
1000,25.78,-0.94,-1.0,-1,1,0
1100,26.19,-0.98,-1.0,-1,1,2
1200,27.0,-0.98,-1.0,-1,1,1
1300,27.98,-0.92,-1.0,-1,1,2
1400,29.77,-0.88,-1.0,-1,1,0
1500,32.06,-0.86,-1.0,-1,1,0
1600,34.61,-0.8,-1.0,-1,1,0
1700,39.0,-0.58,-1.0,-1,1,0
1800,46.06,-0.46,-1.0,-1,1,4
1900,52.79,-0.32,-1.0,-1,1,4
2000,58.77,-0.18,-1.0,-1,1,4
2100,64.17,-0.4,-1.0,-1,1,4
2200,69.04,-0.36,-1.0,-1,1,2
2300,74.11,-0.38,-1.0,-1,1,2
2400,79.78,-0.42,-1.0,-1,1,2
2500,83.93,-0.26,-1.0,-1,1,2
2600,87.54,-0.16,-1.0,-1,1,2
2700,91.36,-0.16,-1.0,-1,1,2
2800,94.95,-0.24,-1.0,-1,1,2
2900,97.86,-0.4,-1.0,-1,1,2
3000,100.66,-0.36,-1.0,-1,1,3
3100,103.37,-0.32,-1.0,-1,1,3
3200,105.49,-0.38,-1.0,-1,1,3
3300,107.6,-0.36,-1.0,-1,1,3
3400,109.35,-0.2,-1.0,-1,1,0
3500,111.51,-0.16,-1.0,-1,1,0
3600,113.54,-0.26,-1.0,-1,1,0
3700,114.73,-0.3,-1.0,-1,1,0
3800,116.21,-0.4,-1.0,-1,1,0
3900,117.66,-0.34,-1.0,-1,1,0
4000,118.87,-0.28,-1.0,-1,1,0
4100,120.57,-0.28,-1.0,-1,1,0
4200,121.97,-0.16,-1.0,-1,1,0
4300,123.47,-0.22,-1.0,-1,1,0
4400,124.13,-0.24,-1.0,-1,1,0
4500,125.74,-0.3,-1.0,-1,1,0
4600,127.01,-0.26,-1.0,-1,1,0
4700,128.59,-0.32,-1.0,-1,1,0
4800,129.62,-0.44,-1.0,-1,1,0
4900,131.02,-0.16,-1.0,-1,1,0
5000,132.06,-0.34,-1.0,-1,1,0
5100,132.88,-0.26,-1.0,-1,1,0
5200,133.85,-0.26,-1.0,-1,1,0
5300,134.75,-0.36,-1.0,-1,1,0
5400,135.59,-0.28,-1.0,-1,1,0
5500,136.69,-0.2,-1.0,-1,1,0
5600,137.75,-0.3,-1.0,-1,1,0
5700,138.9,-0.38,-1.0,-1,1,0
5800,139.59,-0.24,-1.0,-1,1,2
5900,140.49,-0.26,-1.0,-1,1,2
6000,141.22,-0.36,-1.0,-1,1,0
6100,142.13,-0.26,-1.0,-1,1,0
6200,142.58,-0.26,-1.0,-1,1,0
6300,143.53,-0.36,-1.0,-1,1,0
6400,144.37,-0.3,-1.0,-1,1,0
6500,144.99,-0.18,-1.0,-1,1,0
6600,146.09,-0.4,-1.0,-1,1,0
6700,147.01,-0.24,-1.0,-1,1,4
6800,147.89,-0.2,-1.0,-1,1,0
6900,148.3,-0.32,-1.0,-1,1,0
7000,148.79,-0.34,-1.0,-1,1,2
