episodes,mean timesteps,mean reward,median reward,min reward,max reward,mc action
10,20.0,-1.0,-1.0,-1,-1,"[36, 28, 27, 38, 43, 28]"
20,15.8,-1.0,-1.0,-1,-1,"[57, 57, 61, 64, 61, 58]"
30,23.9,-1.0,-1.0,-1,-1,"[86, 84, 121, 94, 110, 102]"
40,27.7,-1.0,-1.0,-1,-1,"[140, 135, 171, 141, 150, 137]"
50,22.2,-1.0,-1.0,-1,-1,"[190, 173, 211, 165, 192, 165]"
60,22.9,-1.0,-1.0,-1,-1,"[224, 209, 273, 210, 220, 189]"
70,26.8,-0.8,-1.0,-1,1,"[269, 234, 339, 251, 281, 219]"
80,30.0,-1.0,-1.0,-1,-1,"[341, 258, 383, 293, 379, 239]"
90,32.5,-0.8,-1.0,-1,1,"[394, 296, 435, 374, 452, 267]"
100,28.9,-1.0,-1.0,-1,-1,"[432, 330, 491, 425, 541, 288]"
110,47.5,-1.0,-1.0,-1,-1,"[480, 373, 668, 502, 647, 312]"
120,35.3,-0.8,-1.0,-1,1,"[510, 390, 820, 553, 735, 327]"
130,38.1,-0.8,-1.0,-1,1,"[554, 424, 965, 595, 824, 354]"
140,35.6,-0.8,-1.0,-1,1,"[580, 460, 1120, 642, 900, 370]"
150,51.2,-0.8,-1.0,-1,1,"[653, 512, 1361, 682, 990, 386]"
160,50.8,-0.6,-1.0,-1,1,"[723, 572, 1583, 737, 1077, 400]"
170,41.8,-1.0,-1.0,-1,-1,"[772, 616, 1767, 782, 1155, 418]"
180,50.0,-0.8,-1.0,-1,1,"[859, 661, 1951, 842, 1263, 434]"
190,56.1,-0.8,-1.0,-1,1,"[941, 704, 2194, 901, 1383, 448]"
200,72.6,-1.0,-1.0,-1,-1,"[1039, 782, 2519, 958, 1539, 460]"
210,89.1,-0.4,-1.0,-1,1,"[1203, 857, 2867, 1043, 1745, 473]"
220,104.9,-1.0,-1.0,-1,-1,"[1392, 980, 3240, 1144, 1995, 486]"
230,45.4,-1.0,-1.0,-1,-1,"[1495, 1017, 3407, 1185, 2090, 497]"
240,58.5,-0.6,-1.0,-1,1,"[1597, 1081, 3607, 1237, 2244, 510]"
250,94.4,-1.0,-1.0,-1,-1,"[1750, 1182, 3883, 1312, 2569, 524]"
260,84.4,-0.8,-1.0,-1,1,"[1893, 1253, 4180, 1367, 2836, 535]"
270,149.1,-0.8,-1.0,-1,1,"[2112, 1445, 4795, 1442, 3218, 543]"
280,73.7,-0.4,-1.0,-1,1,"[2210, 1567, 5120, 1489, 3353, 553]"
290,130.9,-0.6,-1.0,-1,1,"[2382, 1778, 5648, 1561, 3673, 559]"
300,136.9,-0.4,-1.0,-1,1,"[2543, 1952, 6179, 1657, 4073, 566]"
310,128.6,0.0,0.0,-1,1,"[2753, 2109, 6698, 1741, 4382, 573]"
320,107.9,-0.6,-1.0,-1,1,"[2920, 2233, 7144, 1817, 4641, 580]"
330,124.5,-0.6,-1.0,-1,1,"[3119, 2346, 7700, 1892, 4937, 586]"
340,126.3,-1.0,-1.0,-1,-1,"[3290, 2480, 8336, 1947, 5198, 592]"
350,136.5,-0.4,-1.0,-1,1,"[3454, 2628, 9032, 2038, 5461, 595]"
360,120.9,0.0,0.0,-1,1,"[3575, 2745, 9736, 2082, 5681, 598]"
370,122.4,-0.6,-1.0,-1,1,"[3699, 2888, 10376, 2161, 5914, 603]"
380,177.4,-0.2,-1.0,-1,1,"[3846, 3116, 11365, 2240, 6243, 605]"
390,95.0,-0.6,-1.0,-1,1,"[3929, 3241, 11851, 2284, 6450, 610]"
400,131.6,-1.0,-1.0,-1,-1,"[4033, 3435, 12503, 2348, 6746, 616]"
410,141.7,-0.8,-1.0,-1,1,"[4123, 3624, 13284, 2392, 7055, 620]"
420,191.1,-0.4,-1.0,-1,1,"[4236, 3938, 14203, 2459, 7551, 622]"
430,117.9,-0.4,-1.0,-1,1,"[4296, 4123, 14735, 2504, 7904, 626]"
440,174.9,-0.8,-1.0,-1,1,"[4381, 4448, 15414, 2564, 8500, 630]"
450,165.2,-0.8,-1.0,-1,1,"[4461, 4716, 16040, 2607, 9133, 632]"
460,137.7,0.0,0.0,-1,1,"[4514, 4953, 16491, 2646, 9727, 635]"
470,214.5,-0.8,-1.0,-1,1,"[4601, 5354, 17166, 2698, 10656, 636]"
480,191.9,0.0,0.0,-1,1,"[4696, 5712, 17785, 2749, 11451, 637]"
490,145.0,0.0,0.0,-1,1,"[4770, 5994, 18262, 2799, 12017, 638]"
500,118.4,0.2,1.0,-1,1,"[4831, 6218, 18697, 2846, 12430, 642]"
510,178.4,-0.8,-1.0,-1,1,"[4929, 6611, 19310, 2910, 13043, 645]"
520,169.8,-0.6,-1.0,-1,1,"[5021, 7013, 19764, 2962, 13737, 649]"
530,215.2,0.0,0.0,-1,1,"[5145, 7369, 20485, 3053, 14596, 650]"
540,161.6,-0.4,-1.0,-1,1,"[5240, 7660, 20942, 3101, 15321, 650]"
550,161.5,0.2,1.0,-1,1,"[5319, 7907, 21311, 3185, 16157, 650]"
560,140.9,-0.4,-1.0,-1,1,"[5384, 8128, 21674, 3249, 16853, 650]"
570,141.5,-0.6,-1.0,-1,1,"[5467, 8428, 22021, 3308, 17476, 653]"
580,137.6,-0.6,-1.0,-1,1,"[5575, 8726, 22303, 3354, 18115, 656]"
590,203.0,-0.2,-1.0,-1,1,"[5737, 9239, 22689, 3416, 19022, 656]"
600,255.2,-0.4,-1.0,-1,1,"[5933, 9951, 23284, 3497, 19989, 657]"
610,162.2,-0.6,-1.0,-1,1,"[6048, 10338, 23655, 3566, 20665, 661]"
620,114.0,-0.2,-1.0,-1,1,"[6117, 10594, 23998, 3632, 21069, 663]"
630,210.1,-0.4,-1.0,-1,1,"[6270, 10997, 24683, 3729, 21831, 664]"
640,102.2,-0.2,-1.0,-1,1,"[6342, 11151, 25045, 3779, 22214, 665]"
650,189.3,-0.6,-1.0,-1,1,"[6429, 11529, 25543, 3860, 23062, 666]"
660,274.2,-0.2,-1.0,-1,1,"[6570, 11978, 26547, 3967, 24103, 666]"
670,201.3,-0.8,-1.0,-1,1,"[6682, 12353, 27276, 4051, 24812, 670]"
